Id,Brand,Product,Quantity,Price,MRP,rebate,stock,Category,image_small
110,Milky Mist,Table Butter - Salted,2x500 g Multipack ,477,520,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1213683_2-milky-mist-table-butter-salted.jpg
111,Amul,Spread - Choco Butter,200 g Tub,93,93,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/40106416_2-amul-spread-choco-butter.jpg
112,Epigamia ,Greek Yogurt - Blueberry,8x90 g Multipack,320,320,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1202000_2-epigamia-greek-yogurt-blueberry.jpg
113,So Good,"Almond Milk - Natural, Unsweetened",1 L Multipack ,418,550,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1209231_5-so-good-almond-milk-natural-unsweetened.jpg
114,Raw Pressery,Almond Milk - Unsweetened,3x1 L Multipack ,657,975,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1205771_2-raw-pressery-almond-milk-unsweetened.jpg
115,So Good,Almond Milk - Vanilla,1 L Multipack ,412.77,550,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/1209223_4-so-good-almond-milk-vanilla.jpg
116,Fresho Signature,Dates & Walnut Muffins,200 g ,249,249,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/40174341_5-fresho-signature-dates-walnut-muffins.jpg
117,Nandini,Paneer,1 kg Pouch ,320,320,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/270621_6-nandini-paneer.jpg
118,Nandini,Goodlife - Toned Milk,1 L Carton,52,56,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/100285703_15-nandini-goodlife-toned-milk.jpg
119,Nandini,Goodlife - Toned Milk,500 ml Pack of 20,520,520,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/244999_1-nandini-goodlife-toned-milk.jpg
120,Amul,"Pizza Cheese - Mozzarella, Diced",1 kg Pouch,465,465,0,100,bakery cakes dairy,https://www.bigbasket.com/media/uploads/p/l/40126254_3-amul-pizza-cheese-mozzarella-diced.jpg
121,Fresho,Parwal,500 g ,83,103.75,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/10000366_10-fresho-parwal.jpg
122,Fresho,Grapes - Red Globe  Indian,500 g ,114,142.5,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/40019777_3-fresho-grapes-red-globe-indian.jpg
123,Fresho,Marigold Flower - Yellow,250 g ,8,10,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/20001033_9-fresho-marigold-flower-yellow.jpg
124,Hoovu Fresh,Mango Leaf Thorana,80 cm ,109,109,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/40214547_1-hoovu-fresh-mango-leaf-thorana.jpg
125,Fresho,Apple - Ambri,500 g ,102,127.5,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/10000393_6-fresho-apple-ambri.jpg
126,Fresho,Thai Mix,1 pc ,102,127.5,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/30006459_1-fresho-thai-mix.jpg
127,Fresho,Tamarind - Sweet,225 g ,88,127.5,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/40004344_17-fresho-tamarind-sweet.jpg
128,Fresho,"Beans - Cluster, Organically Grown",250 g ,8,10,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/50000458_5-fresho-beans-cluster-organically-grown.jpg
129,Fresho,Onion 1 kg + New Potato 1 kg + Tomato - Hybrid 1 kg,Combo 3 Items,82.7,131.75,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/1203441_1-fresho-onion-1-kg-new-potato-1-kg-tomato-hybrid-1-kg.jpg
130,Fresho,Drumstick - Organically Grown,100 g ,8,10,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/50000499_6-fresho-drumstick-organically-grown.jpg
131,Fresho,Pulav Mix,250 g ,112,140,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/30005183_12-fresho-pulav-mix.jpg
132,Fresho,"Palak - Cleaned, without roots",100 g  ,8,10,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/10000389_12-fresho-palak-cleaned-without-roots.jpg
133,Fresho,"Methi/Venthaya Keerai - Cleaned, without roots",1 kg  ,102,127.5,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/10000111_20-fresho-methiventhaya-keerai-cleaned-without-roots.jpg
134,Fresho,"USA Pear, Organically Grown",1 kg ,109,136.25,0,100,fruits vegetables,https://www.bigbasket.com/media/uploads/p/l/40029953_1-fresho-pears-babbugosha-organically-grown.jpg
